2025-09-02 15:34:29 | ip | 189.202.180.40 | down | ms
2025-09-02 15:34:29 | web | sips.tlalpan.gob.mx | down | ms
2025-09-02 15:34:30 | web | tlalpan.cdmx.gob.mx | up | 551ms
2025-09-02 15:34:30 | web | correo2.cdmx.gob.mx | up | 111ms
2025-09-02 15:34:30 | web | http://10.16.1.3/VU/ | up | 10ms
2025-09-02 15:34:30 | service | 8.8.8.8 | up | 76ms
2025-09-02 15:34:30 | web | google.com | up | 128ms
2025-09-02 15:34:30 |  | 8.8.8.8 | up | 79ms
2025-09-02 15:34:46 | ip | 10.16.1.3 | up | 67ms
2025-09-02 15:34:46 | ip | 10.16.8.16 | up | 47ms
2025-09-02 15:34:47 | ip | 10.16.1.7 | up | 49ms
2025-09-02 15:34:51 | ip | 10.16.0.5 | down | ms
2025-09-02 15:34:51 | ip | 10.16.0.127 | up | 51ms
2025-09-02 15:34:56 | ip | 10.16.0.7 | down | ms
2025-09-02 15:35:01 | ip | 172.16.1.1 | down | ms
2025-09-02 15:35:06 | ip | 172.16.1.2 | down | ms
2025-09-02 15:35:06 | ip | 10.16.8.249 | up | 42ms
2025-09-02 15:35:06 | ip | 10.16.8.2 | up | 52ms
2025-09-02 15:35:09 | ip | 10.16.8.5 | up | 2809ms
2025-09-02 15:35:09 | ip | 10.16.8.40 | up | 46ms
2025-09-02 15:35:10 | ip | 10.16.8.4 | up | 48ms
2025-09-02 15:35:12 | ip | 10.16.8.10 | up | 2734ms
2025-09-02 15:35:12 | ip | 10.16.8.7 | up | 54ms
2025-09-02 15:35:15 | ip | 10.16.8.20 | up | 2882ms
2025-09-02 15:35:15 | ip | 10.16.8.25 | up | 39ms
2025-09-02 15:35:15 | ip | 10.16.8.9 | up | 41ms
2025-09-02 15:35:16 | ip | 10.16.8.61 | up | 54ms
2025-09-02 15:35:16 | ip | 10.16.8.6 | up | 48ms
2025-09-02 15:35:16 | ip | 10.16.8.11 | up | 51ms
2025-09-02 15:35:18 | ip | 10.16.8.254 | up | 2602ms
2025-09-02 15:35:18 | ip | 10.16.1.8 | up | 46ms
2025-09-02 15:35:23 | ip | 189.202.180.34 | down | ms
2025-09-02 15:35:28 | ip | 189.202.180.40 | down | ms
2025-09-02 15:35:28 | web | sips.tlalpan.gob.mx | down | ms
2025-09-02 15:35:29 | web | tlalpan.cdmx.gob.mx | up | 364ms
2025-09-02 15:35:29 | web | correo2.cdmx.gob.mx | up | 107ms
2025-09-02 15:35:29 | web | http://10.16.1.3/VU/ | up | 9ms
2025-09-02 15:35:29 | service | 8.8.8.8 | up | 82ms
2025-09-02 15:35:29 | web | google.com | up | 125ms
2025-09-02 15:35:29 |  | 8.8.8.8 | up | 65ms
